"Rank","Player","Team","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"134","Eddie Royal","FA","","110","124","117.0","7.0","",""
"135","Stevie Johnson","FA","","99","143","119.0","18.2","",""
"136","Wendall Williams","HOU","7","86","165","119.2","28.1","",""
"137","Pharoh Cooper","LAR","8","88","193","119.2","25.4","",""
"138","Leonte Carroo","MIA","11","83","157","119.8","20.3","",""
"139","Philly Brown","BUF","6","107","135","120.1","9.8","",""
"140","Kasen Williams","SEA","6","61","183","121.0","46.9","",""
"141","Jalin Marshall","NYJ","11","88","138","121.2","14.5","",""
"142","Rod Streater","BUF","6","104","159","121.2","17.1","",""
"143","Chris Moore","BAL","10","106","134","122.1","7.6","",""
"144","Demarcus Robinson","KC","10","101","185","122.7","21.9","",""
"145","Michael Campanaro","BAL","10","101","147","122.9","12.7","",""
"146","TJ Jones","DET","7","108","133","124.0","6.8","",""
"147","Marquess Wilson","FA","","75","200","126.4","34.1","",""
"148","Jared Abbrederis","DET","7","74","168","127.5","35.7","",""
"149","Bennie Fowler","DEN","5","102","139","127.8","9.7","111.0","-38.0"
"150","Mack Hollins","PHI","10","83","157","128.4","23.7","",""
"151","Justin Hunter","PIT","9","82","190","130.3","38.3","",""
"152","Jarius Wright","MIN","9","111","148","131.2","10.2","",""
"153","Ryan Switzer","DAL","6","85","277","132.1","44.4","",""
"154","Darrius Heyward-Bey","PIT","9","98","198","133.1","25.0","",""
"155","Brittan Golden","ARI","8","131","136","133.5","2.5","",""
"156","Jeff Janis","GB","8","98","162","133.7","22.4","",""
"157","Amara Darboh","SEA","6","79","223","135.6","34.0","",""
"158","Cody Latimer","DEN","5","104","159","136.2","14.8","",""
"159","Roger Lewis","NYG","8","123","150","137.2","7.3","",""
"160","Jehu Chesson","KC","10","102","166","137.5","19.5","",""
"161","Andre Roberts","ATL","5","118","195","137.7","21.0","",""
"162","Ishmael Zamora","OAK","10","105","164","138.4","20.0","",""
"163","Paul Turner","PHI","10","118","169","139.7","21.5","",""
"164","Deonte Thompson","CHI","9","120","177","142.4","19.3","",""
"165","Trent Taylor","SF","11","95","189","142.5","28.4","",""
"166","Kenny Bell","FA","","101","198","143.7","40.5","",""
"167","Jeremy Ross","ARI","8","115","169","144.3","22.3","",""
"168","Aaron Burbridge","SF","11","129","170","144.3","14.3","",""
"169","Tommylee Lewis","NO","5","127","159","144.7","9.1","",""
"170","Ryan Grant","WAS","5","126","162","145.0","12.4","",""
"171","Rashad Greene","JAC","8","113","180","146.8","21.4","",""
"172","Jordan Taylor","DEN","5","108","175","147.3","23.4","",""
"173","Jace Billingsley","DET","7","128","161","147.8","12.1","",""
"174","Mike Thomas","LAR","8","92","186","149.3","26.8","",""
"175","Damiere Byrd","CAR","11","117","193","150.0","27.6","",""
"176","Cody Core","CIN","6","133","179","151.7","13.1","",""
"177","Keith Mumphery","FA","","144","164","154.0","10.0","",""
"178","Josh Huff","TB","11","144","164","154.7","6.6","",""
"179","Cobi Hamilton","PIT","9","129","181","155.2","19.5","",""
"180","Chris Matthews","BAL","10","137","182","156.0","14.6","",""
"181","Nick Williams","ATL","5","150","163","156.0","5.4","",""
"182","Josh Bellamy","CHI","9","141","170","156.1","9.6","",""
"183","Trevor Davis","GB","8","141","165","156.7","11.1","",""
"184","Brenton Bersin","CAR","11","140","169","157.0","12.4","",""
"185","Lucky Whitehead","NYJ","11","136","188","158.2","17.4","",""
"186","Jordan Payton","CLE","9","145","181","161.2","12.9","",""
"187","Freddie Martino","TB","11","158","168","163.0","5.0","",""
"188","Harry Douglas","TEN","8","130","205","163.2","24.1","",""
"189","DeAndre Smelter","SF","11","131","197","164.4","23.2","",""
"190","Brandon Tate","BUF","6","142","187","164.8","18.4","",""
"191","Chris Thompson","HOU","7","66","266","166.0","100.0","",""
"192","Walter Powell","BUF","6","129","211","168.4","29.0","",""
"193","Corey Fuller","NO","5","127","207","169.0","25.5","",""
"194","Johnny Holton","OAK","10","148","204","169.4","21.0","",""
"195","Arrelious Benn","JAC","8","137","200","172.0","23.5","",""
"196","Demarcus Ayers","PIT","9","162","184","173.0","11.0","",""
